nom,secteur,ville,code_postal,adresse,siren,siret
FITECO (FITECO),Cabinets comptables,CHANGE,53810,PARC TECHNOPOLE RUE ALBERT EINSTEIN 53810 CHANGE,557150067,55715006700972
TGS FRANCE EXPERTISE COMPTABLE PAIE RH (TGS FRANCE) (TGS FRANCE ECPRH),Cabinets comptables,BEAUCOUZE,49070,PARC ACTIVITE ANGERS BEAUCOUZE 1 RUE DU TERTRE 49070 BEAUCOUZE,069200210,06920021001634
COGEDIS (AGC),Cabinets comptables,SAINT-THONAN,29800,ZI DE SAINT THONAN 29800 SAINT-THONAN,312771967,31277196700238
SOC FIDUCIAIRE NATIO EXPERTISE COMPTABLE (FIDUCIAL EXPERTISE ; JADE FIDUCIAL) (FID),Cabinets comptables,COURBEVOIE,92400,41 RUE DU CAPITAINE GUYNEMER 92400 COURBEVOIE,552108722,55210872210462
FITECO (FITECO),Cabinets comptables,CHANGE,53810,PARC TECHNOPOLE RUE ALBERT EINSTEIN 53810 CHANGE,557150067,55715006700972
KPMG,Cabinets comptables,COURBEVOIE,92400,TOUR EQHO 2 AVENUE GAMBETTA 92400 COURBEVOIE,775726417,77572641707266
GRANT THORNTON,Cabinets comptables,NEUILLY-SUR-SEINE,92200,29 RUE DU PONT 92200 NEUILLY-SUR-SEINE,632013843,63201384300701
COMPAGNIE FIDUCIAIRE,Cabinets comptables,BORDEAUX,33800,68 QUAI DE PALUDATE 33800 BORDEAUX,320153984,32015398400473
SOC FIDUCIAIRE NATIO EXPERTISE COMPTABLE (FIDUCIAL EXPERTISE ; JADE FIDUCIAL) (FID),Cabinets comptables,COURBEVOIE,92400,41 RUE DU CAPITAINE GUYNEMER 92400 COURBEVOIE,552108722,55210872210462
FITECO (FITECO),Cabinets comptables,CHANGE,53810,PARC TECHNOPOLE RUE ALBERT EINSTEIN 53810 CHANGE,557150067,55715006700972
TGS FRANCE EXPERTISE COMPTABLE PAIE RH (TGS FRANCE) (TGS FRANCE ECPRH),Cabinets comptables,BEAUCOUZE,49070,PARC ACTIVITE ANGERS BEAUCOUZE 1 RUE DU TERTRE 49070 BEAUCOUZE,069200210,06920021001634
KPMG,Cabinets comptables,COURBEVOIE,92400,TOUR EQHO 2 AVENUE GAMBETTA 92400 COURBEVOIE,775726417,77572641707266
ASSOCIATION NATIONALE D'ASSISTANCE FISCALE ET ADMINISTRATIVE DE GESTION ET DE COMPTABILITE (ANAFAGC),Cabinets comptables,LEVALLOIS-PERRET,92300,37 RUE ANATOLE FRANCE 92300 LEVALLOIS-PERRET,812454247,81245424700337
ONET SERVICES,Nettoyage courant,MARSEILLE,13009,36 BOULEVARD DE L'OCEAN 13009 MARSEILLE,067800425,06780042503681
ATALIAN PROPRETE,Nettoyage courant,PARIS,75017,56 RUE AMPERE 75017 PARIS,399506641,39950664100501
BIOMEGA HYGIENE,Nettoyage courant,TOULOUSE,31500,190 AVENUE RAYMOND NAVES 31500 TOULOUSE,491371811,49137181100531
SOCIETE MENAGE SERVICE BETHUNE,Nettoyage courant,BETHUNE,62400,70 RUE D’ARRAS 62400 BETHUNE,914175047,91417504700010
ALMAVIVA SERVICES,Nettoyage courant,AIX-EN-PROVENCE,13540,ESPACE EOLE - PUYRICARD 70 RUE DE LA COQUILLADE 13540 AIX-EN-PROVENCE,982198962,98219896200010
DESPS (DBG FACILITY),Nettoyage courant,CRETEIL,94000,51 CHEMIN DES MECHES 94000 CRETEIL,933096828,93309682800027
ONET SERVICES,Nettoyage courant,MARSEILLE,13009,36 BOULEVARD DE L'OCEAN 13009 MARSEILLE,067800425,06780042503681
CLEANINVEST,Nettoyage courant,PARIS,75008,7 RUE DE LA BAUME 75008 PARIS,853197473,85319747300012
LP - LA PROVIDENCE (LP),Nettoyage courant,CESSON-SEVIGNE,35510,LA RIGOURDIERE 6 RUE DE CHATILLON 35510 CESSON-SEVIGNE,518515416,51851541600015
ISOR EXPLOITATION,Nettoyage courant,LEVALLOIS-PERRET,92300,42 RUE ANATOLE FRANCE 92300 LEVALLOIS-PERRET,844841403,84484140300034
DESPS (DBG FACILITY),Nettoyage courant,CRETEIL,94000,51 CHEMIN DES MECHES 94000 CRETEIL,933096828,93309682800027
ONET SERVICES,Nettoyage courant,MARSEILLE,13009,36 BOULEVARD DE L'OCEAN 13009 MARSEILLE,067800425,06780042503681
ATALIAN PROPRETE,Nettoyage courant,PARIS,75017,56 RUE AMPERE 75017 PARIS,399506641,39950664100501
BIOMEGA HYGIENE,Nettoyage courant,TOULOUSE,31500,190 AVENUE RAYMOND NAVES 31500 TOULOUSE,491371811,49137181100531
PRO IMPEC (PRO IMPEC),Nettoyage courant,LAMBERSART,59130,PARC D ACTIVITE DE LA CESSOIE 1 RUE SIMON VOLLANT 59130 LAMBERSART,379129497,37912949700101
DESPS (DBG FACILITY),Nettoyage courant,CRETEIL,94000,51 CHEMIN DES MECHES 94000 CRETEIL,933096828,93309682800027
ONET SERVICES,Nettoyage courant,MARSEILLE,13009,36 BOULEVARD DE L'OCEAN 13009 MARSEILLE,067800425,06780042503681
ATALIAN PROPRETE,Nettoyage courant,PARIS,75017,56 RUE AMPERE 75017 PARIS,399506641,39950664100501
ALMAVIVA SERVICES,Nettoyage courant,AIX-EN-PROVENCE,13540,ESPACE EOLE - PUYRICARD 70 RUE DE LA COQUILLADE 13540 AIX-EN-PROVENCE,982198962,98219896200010
POLYGON FRANCE (BRETAGNE ASSECHEMENT - NORMANDIE ASSISTANCE - MAINE ASSECHEMENT - POLYGON FRANCE),Nettoyage courant,PARIS,75013,69 RUE DU CHEVALERET 75013 PARIS,341019180,34101918000320
SERVICES MARKETING DIVERSIFIES,Agences de communication,PARIS,75008,133 AVENUE DES CHAMPS ELYSEES 75008 PARIS,337934483,33793448300112
REGICOM WEBFORMANCE,Agences de communication,LEVALLOIS-PERRET,92300,36-40 36 RUE RASPAIL 92300 LEVALLOIS-PERRET,525312294,52531229400305
EF INTERNATIONAL,Agences de communication,PARIS,75009,5 AVENUE DE PROVENCE 75009 PARIS,495123275,49512327500028
V CONSEIL APPLICATIONS,Agences de communication,PARIS,75013,10 RUE VANDREZANNE 75013 PARIS,342085578,34208557800397
PIXALIONE (PIXALIONE) (I.S.),Agences de communication,PARIS,75015,6-6 -8 6 B RUE FIRMIN GILLOT 75015 PARIS,494308570,49430857000055
SERVICES MARKETING DIVERSIFIES,Agences de communication,PARIS,75008,133 AVENUE DES CHAMPS ELYSEES 75008 PARIS,337934483,33793448300112
REGICOM WEBFORMANCE,Agences de communication,LEVALLOIS-PERRET,92300,36-40 36 RUE RASPAIL 92300 LEVALLOIS-PERRET,525312294,52531229400305
PIXALIONE (PIXALIONE) (I.S.),Agences de communication,PARIS,75015,6-6 -8 6 B RUE FIRMIN GILLOT 75015 PARIS,494308570,49430857000055
IPROSPECT FRANCE,Agences de communication,PARIS,75017,67 AVENUE DE WAGRAM 75017 PARIS,432250116,43225011600121
DENTSUX FRANCE (DENTSUX FRANCE),Agences de communication,PARIS,75017,67 AVENUE DE WAGRAM 75017 PARIS,839985603,83998560300027
REGICOM WEBFORMANCE,Agences de communication,LEVALLOIS-PERRET,92300,36-40 36 RUE RASPAIL 92300 LEVALLOIS-PERRET,525312294,52531229400305
BUZZEO,Agences de communication,MONTREUIL,93100,11 B RUE RABELAIS 93100 MONTREUIL,480486158,48048615800029
PROMODIP,Agences de communication,PANTIN,93500,42 RUE DES SEPT ARPENTS 93500 PANTIN,339601676,33960167600044
ARISTID SERVICES (CA INTERACTIVE - CA COM),Agences de communication,PARIS,75016,49 AVENUE D'IENA 75016 PARIS,410835987,41083598700018
CEGEDIM MEDIA (C-MEDIA),Agences de communication,BOULOGNE-BILLANCOURT,92100,137 RUE D'AGUESSEAU 92100 BOULOGNE-BILLANCOURT,602006306,60200630600123
REGICOM WEBFORMANCE,Agences de communication,LEVALLOIS-PERRET,92300,36-40 36 RUE RASPAIL 92300 LEVALLOIS-PERRET,525312294,52531229400305
DN'D (DN'D),Agences de communication,PARIS,75013,6 RUE GERMAINE RICHIER 75013 PARIS,452907546,45290754600124
SYLLAGE (ANIMTEL) (MTE),Agences de communication,PARIS,75011,62 RUE AMELOT 75011 PARIS,394998215,39499821500013
FERDINAND MARCOS,Agences de communication,MAISONS-ALFORT,94700,63 RUE VICTOR HUGO 94700 MAISONS-ALFORT,352086961,35208696100021
RICHARD MARTINEZ,Agences de communication,PARIS,75019,84 QUAI DE LA LOIRE 75019 PARIS,322775529,32277552900058
LIPPI (MERCIER PERE ET FILS),Travaux de finition,PARIS,75017,2 RUE DES COLONELS RENARD 75017 PARIS,823091707,82309170700013
ADS,Travaux de finition,PARIS,75008,128 RUE LA BOETIE 75008 PARIS,503686859,50368685900011
HENOCQUE PISCINES,Travaux de finition,PARIS,75008,102 AVENUE DES CHAMPS ELYSEES 75008 PARIS,390218105,39021810500075
L.A.D.B. (LES ARTISANS DU BATIMENT),Travaux de finition,LES LILAS,93260,26/28 26 BOULEVARD DE LA LIBERTE 93260 LES LILAS,505259317,50525931700012
"PLANS CUISINES (L'ART COMPAGNONS, LEADER PLANS)",Travaux de finition,PARIS,75012,95 RUE DE CHARENTON 75012 PARIS,789025418,78902541800011
LIPPI (MERCIER PERE ET FILS),Travaux de finition,PARIS,75017,2 RUE DES COLONELS RENARD 75017 PARIS,823091707,82309170700013
ADS,Travaux de finition,PARIS,75008,128 RUE LA BOETIE 75008 PARIS,503686859,50368685900011
HABITAT ETUDES & SERVICES (A.E.S.) (H.E.S.),Travaux de finition,ASNIERES-SUR-SEINE,92600,24 RUE LEHOT 92600 ASNIERES-SUR-SEINE,795063734,79506373400011
TECH-WAY,Travaux de finition,BUC,78530,240 RUE HELENE BOUCHER 78530 BUC,841375595,84137559500029
ATELIER DES COMPAGNONS DU BATIMENT (A.C.B.) (AUX COMPAGNONS PARISIEN),Travaux de finition,PARIS,75020,1 AVENUE TAILLADE 75020 PARIS,510404973,51040497300149
LIPPI (MERCIER PERE ET FILS),Travaux de finition,PARIS,75017,2 RUE DES COLONELS RENARD 75017 PARIS,823091707,82309170700013
ADS,Travaux de finition,PARIS,75008,128 RUE LA BOETIE 75008 PARIS,503686859,50368685900011
HABITAT ETUDES & SERVICES (A.E.S.) (H.E.S.),Travaux de finition,ASNIERES-SUR-SEINE,92600,24 RUE LEHOT 92600 ASNIERES-SUR-SEINE,795063734,79506373400011
L.A.D.B. (LES ARTISANS DU BATIMENT),Travaux de finition,LES LILAS,93260,26/28 26 BOULEVARD DE LA LIBERTE 93260 LES LILAS,505259317,50525931700012
ATELIER DES COMPAGNONS DU BATIMENT (A.C.B.) (AUX COMPAGNONS PARISIEN),Travaux de finition,PARIS,75020,1 AVENUE TAILLADE 75020 PARIS,510404973,51040497300149
LIPPI (MERCIER PERE ET FILS),Travaux de finition,PARIS,75017,2 RUE DES COLONELS RENARD 75017 PARIS,823091707,82309170700013
ADS,Travaux de finition,PARIS,75008,128 RUE LA BOETIE 75008 PARIS,503686859,50368685900011
L.A.D.B. (LES ARTISANS DU BATIMENT),Travaux de finition,LES LILAS,93260,26/28 26 BOULEVARD DE LA LIBERTE 93260 LES LILAS,505259317,50525931700012
ATELIER DES COMPAGNONS DU BATIMENT (A.C.B.) (AUX COMPAGNONS PARISIEN),Travaux de finition,PARIS,75020,1 AVENUE TAILLADE 75020 PARIS,510404973,51040497300149
FRANCOLIVIER,Travaux de finition,LE RAINCY,93340,10 B AVENUE DE LIVRY 93340 LE RAINCY,351787536,35178753600025
AFTRAL (AFTRAL),Formation continue,PARIS,75017,46 AVENUE DE VILLIERS 75017 PARIS,305405045,30540504500017
AGENCE NATIONALE POUR LA FORMATION PROFESSIONNELLE DES ADULTES (AFPA),Formation continue,MONTREUIL,93100,TOUR CITYSCOPE 3 RUE FRANKLIN 93100 MONTREUIL,824228142,82422814200017
AFPA ACCES A L' EMPLOI,Formation continue,MONTREUIL,93100,TOUR CITYSCOPE 3 RUE FRANKLIN 93100 MONTREUIL,824363436,82436343600018
CENTRE NATIONAL DE LA FONCTION PUBLIQUE TERRITORIALE (CNFPT),Formation continue,PARIS,75012,80 RUE DE REUILLY 75012 PARIS,180014045,18001404502245
ENVERGURE,Formation continue,TORCY,77200,20 RUE PIERRE MENDES FRANCE 77200 TORCY,530149038,53014903800719
AFTRAL (AFTRAL),Formation continue,PARIS,75017,46 AVENUE DE VILLIERS 75017 PARIS,305405045,30540504500017
AGENCE NATIONALE POUR LA FORMATION PROFESSIONNELLE DES ADULTES (AFPA),Formation continue,MONTREUIL,93100,TOUR CITYSCOPE 3 RUE FRANKLIN 93100 MONTREUIL,824228142,82422814200017
AFPA ACCES A L' EMPLOI,Formation continue,MONTREUIL,93100,TOUR CITYSCOPE 3 RUE FRANKLIN 93100 MONTREUIL,824363436,82436343600018
CENTRE NATIONAL DE LA FONCTION PUBLIQUE TERRITORIALE (CNFPT),Formation continue,PARIS,75012,80 RUE DE REUILLY 75012 PARIS,180014045,18001404502245
ENVERGURE,Formation continue,TORCY,77200,20 RUE PIERRE MENDES FRANCE 77200 TORCY,530149038,53014903800719
AFTRAL (AFTRAL),Formation continue,PARIS,75017,46 AVENUE DE VILLIERS 75017 PARIS,305405045,30540504500017
AGENCE NATIONALE POUR LA FORMATION PROFESSIONNELLE DES ADULTES (AFPA),Formation continue,MONTREUIL,93100,TOUR CITYSCOPE 3 RUE FRANKLIN 93100 MONTREUIL,824228142,82422814200017
AFPA ACCES A L' EMPLOI,Formation continue,MONTREUIL,93100,TOUR CITYSCOPE 3 RUE FRANKLIN 93100 MONTREUIL,824363436,82436343600018
CENTRE NATIONAL DE LA FONCTION PUBLIQUE TERRITORIALE (CNFPT),Formation continue,PARIS,75012,80 RUE DE REUILLY 75012 PARIS,180014045,18001404502245
ENVERGURE,Formation continue,TORCY,77200,20 RUE PIERRE MENDES FRANCE 77200 TORCY,530149038,53014903800719
AFTRAL (AFTRAL),Formation continue,PARIS,75017,46 AVENUE DE VILLIERS 75017 PARIS,305405045,30540504500017
AGENCE NATIONALE POUR LA FORMATION PROFESSIONNELLE DES ADULTES (AFPA),Formation continue,MONTREUIL,93100,TOUR CITYSCOPE 3 RUE FRANKLIN 93100 MONTREUIL,824228142,82422814200017
AFPA ACCES A L' EMPLOI,Formation continue,MONTREUIL,93100,TOUR CITYSCOPE 3 RUE FRANKLIN 93100 MONTREUIL,824363436,82436343600018
CENTRE NATIONAL DE LA FONCTION PUBLIQUE TERRITORIALE (CNFPT),Formation continue,PARIS,75012,80 RUE DE REUILLY 75012 PARIS,180014045,18001404502245
ENVERGURE,Formation continue,TORCY,77200,20 RUE PIERRE MENDES FRANCE 77200 TORCY,530149038,53014903800719
ASSOCIATION POUR L'EMPLOI DES CADRES (APEC),Cabinets de recrutement,PARIS,75014,51 BOULEVARD BRUNE 75014 PARIS,775672231,77567223100328
HARRY HOPE,Cabinets de recrutement,NANCY,54000,49 COURS LEOPOLD 54000 NANCY,844622738,84462273800269
"LHH RECRUITMENT SOLUTIONS (LHH RECRUITMENT SOLUTIONS, BADENOCH & CLARK, RH SANTE)",Cabinets de recrutement,COURBEVOIE,92400,COEUR DEFENSE 90 ESPLANADE DU GENERAL DE GAULLE 92400 COURBEVOIE,612027557,61202755700711
WINSEARCH,Cabinets de recrutement,MANOSQUE,04100,ZONE INDUSTRIELLE SAINT MAURICE 04100 MANOSQUE,399625912,39962591200171
PROFIL (AGENCE PROFIL),Cabinets de recrutement,LYON,69007,349 AVENUE JEAN JAURES 69007 LYON,378869846,37886984600170
ASSOCIATION POUR L'EMPLOI DES CADRES (APEC),Cabinets de recrutement,PARIS,75014,51 BOULEVARD BRUNE 75014 PARIS,775672231,77567223100328
"LHH RECRUITMENT SOLUTIONS (LHH RECRUITMENT SOLUTIONS, BADENOCH & CLARK, RH SANTE)",Cabinets de recrutement,COURBEVOIE,92400,COEUR DEFENSE 90 ESPLANADE DU GENERAL DE GAULLE 92400 COURBEVOIE,612027557,61202755700711
MACANDERS GROUP (MACANDERS),Cabinets de recrutement,PARIS,75008,54 AVENUE MARCEAU 75008 PARIS,478077233,47807723300086
LINKING TALENTS RECRUTEMENT (LTR),Cabinets de recrutement,PARIS,75008,78 AVENUE DES CHAMPS ELYSEES 75008 PARIS,499318707,49931870700175
COOPTALIS (COOPTALIS),Cabinets de recrutement,PARIS,75009,4 RUE DU FAUBOURG MONTMARTRE 75009 PARIS,753670306,75367030600061
ASSOCIATION POUR L'EMPLOI DES CADRES (APEC),Cabinets de recrutement,PARIS,75014,51 BOULEVARD BRUNE 75014 PARIS,775672231,77567223100328
PROFIL (AGENCE PROFIL),Cabinets de recrutement,LYON,69007,349 AVENUE JEAN JAURES 69007 LYON,378869846,37886984600170
BIMBAMJOB,Cabinets de recrutement,PARIS,75012,117 RUE DE CHARENTON 75012 PARIS,812216927,81221692700044
SOFIANE IKHENFER (JOB MERCATO),Cabinets de recrutement,NEUILLY-PLAISANCE,93360,2 RUE DES HERSIERS 93360 NEUILLY-PLAISANCE,821598562,82159856200014
SESAME FORMATION,Cabinets de recrutement,DEUIL-LA-BARRE,95170,9 SENTIER DES CRISSETS 95170 DEUIL-LA-BARRE,433403516,43340351600027
ASSOCIATION POUR L'EMPLOI DES CADRES (APEC),Cabinets de recrutement,PARIS,75014,51 BOULEVARD BRUNE 75014 PARIS,775672231,77567223100328
COMET,Cabinets de recrutement,NEUILLY-SUR-SEINE,92200,104 AVENUE CHARLES DE GAULLE 4 ALLEE FERRAND 92200 NEUILLY-SUR-SEINE,821075413,82107541300103
R2T PLACEMENT ET MANAGEMENT (R2T PLACEMENT ET MANAGEMENT),Cabinets de recrutement,PARIS,75008,109 BOULEVARD MALESHERBES 75008 PARIS,517998977,51799897700048
SETTI BENCHEHIDA,Cabinets de recrutement,CHARENTON-LE-PONT,94220,BAT A APT 9 18 QUAI DES CARRIERES 94220 CHARENTON-LE-PONT,538949751,53894975100019
VAL DE BRIE EMMAUS,Cabinets de recrutement,VILLIERS-SUR-MARNE,94350,1 RUE DE LA FRATERNITE 94350 VILLIERS-SUR-MARNE,434935482,43493548200068
